#,Zip Code,Location,City,Population,Avg. Income/H/hold,National Rank
161,10709,"40.952626, -73.809927","Eastchester, New York",9093,70888,"#1,441"
162,12211,"42.705608, -73.766085","Albany, New York",10684,70744,"#1,465"
163,11702,"40.618005, -73.407877","Babylon, New York",14975,70630,"#1,480"
164,14475,"42.937819, -77.498297","Ionia, New York",223,70625,"#1,482"
165,11021,"40.786114, -73.728183","Great Neck, New York",19623,70569,"#1,486"
166,11514,"40.749920, -73.614017","Carle Place, New York",5214,70547,"#1,490"
167,10509,"41.422360, -73.580154","Brewster, New York",18913,70528,"#1,492"
168,10595,"41.087709, -73.785778","Valhalla, New York",7482,70469,"#1,495"
169,12148,"42.827793, -73.848164","Rexford, New York",2929,70344,"#1,509"
170,10522,"41.010310, -73.863746","Dobbs Ferry, New York",10622,70333,"#1,510"
171,11715,"40.749738, -73.034888","Blue Point, New York",4407,70333,"#1,511"
172,11581,"40.652229, -73.714706","Valley Stream, New York",20094,70137,"#1,530"
173,11980,"40.831652, -72.923760","Yaphank, New York",4221,70052,"#1,544"
174,10128,"40.781656, -73.950281","New York, New York",59856,70031,"#1,547"
175,11756,"40.724567, -73.516333","Levittown, New York",43952,69835,"#1,564"
176,11740,"40.865796, -73.363314","Greenlawn, New York",9647,69657,"#1,581"
177,11777,"40.949875, -73.061723","Port Jefferson, New York",9025,69426,"#1,600"
178,12540,"41.669552, -73.714516","Lagrangeville, New York",6633,69420,"#1,601"
179,10017,"40.752292, -73.972393","New York, New York",16201,69273,"#1,611"
180,12841,"43.639940, -73.507678","Huletts Landing, New York",87,69167,"#1,622"
181,14543,"42.990648, -77.679529","Rush, New York",3296,69052,"#1,638"
182,11548,"40.814616, -73.622003","Greenvale, New York",2514,68750,"#1,661"
183,11569,"40.608435, -73.590373","Point Lookout, New York",1559,68661,"#1,674"
184,11720,"40.869907, -73.081937","Centereach, New York",28105,68627,"#1,677"
185,12420,"41.671045, -74.383413","Cragsmoor, New York",369,68611,"#1,683"
186,14068,"43.026309, -78.758472","Getzville, New York",10027,68559,"#1,687"
187,10917,"41.322562, -74.120871","Central Valley, New York",1650,68472,"#1,693"
188,11709,"40.908648, -73.560926","Bayville, New York",7135,68380,"#1,707"
189,10992,"41.421990, -74.163800","Washingtonville, New York",9367,68329,"#1,711"
190,11769,"40.736277, -73.129837","Oakdale, New York",9729,68241,"#1,720"
191,10707,"40.959962, -73.822722","Tuckahoe, New York",9447,67929,"#1,752"
192,10312,"40.547291, -74.179264","Staten Island, New York",58867,67728,"#1,777"
193,11363,"40.772591, -73.746472","Little Neck, New York",6917,67550,"#1,801"
194,14450,"43.088447, -77.415761","Fairport, New York",40748,67483,"#1,807"
195,11755,"40.858961, -73.120478","Lake Grove, New York",11402,67389,"#1,818"
196,11801,"40.762304, -73.524452","Hicksville, New York",39449,67226,"#1,836"
197,11763,"40.823551, -72.980284","Medford, New York",24743,67207,"#1,840"
198,10990,"41.269726, -74.366389","Warwick, New York",19315,67194,"#1,842"
199,11554,"40.720115, -73.558861","East Meadow, New York",37458,67185,"#1,845"
200,10523,"41.061817, -73.819281","Elmsford, New York",7489,67100,"#1,854"
201,14526,"43.151464, -77.444396","Penfield, New York",19789,66982,"#1,867"
202,14102,"42.835266, -78.563136","Marilla, New York",1111,66953,"#1,877"
203,12008,"42.848917, -73.912735","Alplaus, New York",431,66908,"#1,884"
204,11972,"40.818205, -72.701844","Speonk, New York",692,66806,"#1,900"
205,10014,"40.733471, -74.007098","New York, New York",32667,66601,"#1,931"
206,11752,"40.755849, -73.173780","Islip Terrace, New York",9881,66600,"#1,932"
207,14568,"43.159881, -77.281348","Walworth, New York",5874,66472,"#1,941"
208,10016,"40.744983, -73.978262","New York, New York",51217,66342,"#1,954"
209,12077,"42.588163, -73.777695","Glenmont, New York",5719,66270,"#1,962"
210,10985,"41.583519, -74.373188","Thompson Ridge, New York",57,66250,"#1,968"
211,14618,"43.112890, -77.557574","Rochester, New York",22387,66093,"#1,985"
212,11796,"40.729245, -73.099841","West Sayville, New York",3835,65924,"#2,011"
213,11965,"41.076855, -72.341896","Shelter Island Heights, New York",1080,65921,"#2,012"
214,13078,"42.958484, -76.061077","Jamesville, New York",8625,65917,"#2,014"
215,13066,"43.032475, -76.000667","Fayetteville, New York",12299,65885,"#2,019"
216,11948,"40.963769, -72.553554","Laurel, New York",903,65875,"#2,020"
217,11735,"40.734243, -73.428600","Farmingdale, New York",32159,65596,"#2,069"
218,11751,"40.733051, -73.212519","Islip, New York",15083,65588,"#2,070"
219,10548,"41.247875, -73.941802","Montrose, New York",4076,65553,"#2,073"
220,12520,"41.428017, -73.996195","Cornwall On Hudson, New York",2918,65550,"#2,074"
221,11776,"40.913812, -73.046148","Port Jefferson Station, New York",22440,65494,"#2,081"
222,11714,"40.743967, -73.479983","Bethpage, New York",23012,65489,"#2,082"
223,12309,"42.790136, -73.862338","Schenectady, New York",30057,65417,"#2,088"
224,10309,"40.530847, -74.221178","Staten Island, New York",27207,65397,"#2,093"
225,12531,"41.520881, -73.659921","Holmes, New York",3051,65272,"#2,111"
226,13104,"42.963030, -75.948439","Manlius, New York",14414,65246,"#2,116"
227,12159,"42.651428, -73.885894","Slingerlands, New York",7646,65227,"#2,118"
228,11558,"40.611322, -73.662331","Island Park, New York",8553,65214,"#2,120"
229,11742,"40.809944, -73.040545","Holtsville, New York",12119,64921,"#2,161"
230,10543,"40.953743, -73.736180","Mamaroneck, New York",19427,64787,"#2,180"
231,12563,"41.503887, -73.572979","Patterson, New York",7252,64699,"#2,185"
232,12019,"42.945577, -73.834562","Ballston Lake, New York",13320,64673,"#2,190"
233,12054,"42.608547, -73.864416","Delmar, New York",16421,64404,"#2,220"
234,11716,"40.776697, -73.134857","Bohemia, New York",10360,64250,"#2,235"
235,10307,"40.506815, -74.241709","Staten Island, New York",11669,64159,"#2,247"
236,14032,"43.046776, -78.631524","Clarence Center, New York",5553,64073,"#2,255"
237,11779,"40.812431, -73.116108","Ronkonkoma, New York",39321,64036,"#2,261"
238,11940,"40.809637, -72.759740","East Moriches, New York",4347,63945,"#2,277"
239,11580,"40.674900, -73.702154","Valley Stream, New York",37759,63802,"#2,293"
240,11003,"40.699176, -73.706166","Elmont, New York",40507,63677,"#2,317"
241,10537,"41.355369, -73.879979","Lake Peekskill, New York",2032,63583,"#2,335"
242,11547,"40.830929, -73.643958","Glenwood Landing, New York",666,63500,"#2,348"
243,10591,"41.090097, -73.841014","Tarrytown, New York",21590,63219,"#2,379"
244,11563,"40.657306, -73.674147","Lynbrook, New York",23231,63082,"#2,393"
245,11949,"40.860476, -72.793791","Manorville, New York",11385,63066,"#2,397"
246,10516,"41.462100, -73.875003","Cold Spring, New York",5190,62981,"#2,409"
247,11713,"40.773594, -72.945434","Bellport, New York",9160,62950,"#2,410"
248,11010,"40.700778, -73.675686","Franklin Square, New York",24778,62907,"#2,419"
249,10511,"41.261063, -73.948349","Buchanan, New York",2189,62604,"#2,447"
250,12027,"42.935415, -73.907816","Burnt Hills, New York",3659,62569,"#2,452"
251,11703,"40.732670, -73.325925","North Babylon, New York",16336,62569,"#2,453"
252,10604,"41.052798, -73.736957","West Harrison, New York",10430,62553,"#2,454"
253,12514,"41.877418, -73.764441","Clinton Corners, New York",2854,62553,"#2,455"
254,12186,"42.640203, -73.982848","Voorheesville, New York",6461,62524,"#2,463"
255,10010,"40.739122, -73.982363","New York, New York",26408,62467,"#2,471"
256,11366,"40.727929, -73.793074","Fresh Meadows, New York",13366,62325,"#2,498"
257,11411,"40.694307, -73.735948","Cambria Heights, New York",21282,62071,"#2,549"
258,10970,"41.197670, -74.074130","Pomona, New York",9222,62025,"#2,560"
259,11955,"40.809125, -72.816096","Moriches, New York",2652,61989,"#2,567"
260,10011,"40.741844, -74.000711","New York, New York",46669,61986,"#2,569"
261,10308,"40.551236, -74.150961","Staten Island, New York",26451,61868,"#2,588"
262,11934,"40.798359, -72.794297","Center Moriches, New York",6539,61661,"#2,625"
263,12067,"42.557461, -73.920294","Feura Bush, New York",1854,61645,"#2,628"
264,10958,"41.379281, -74.423711","New Hampton, New York",2967,61639,"#2,631"
265,11757,"40.689587, -73.373856","Lindenhurst, New York",46458,61536,"#2,649"
266,11935,"41.021223, -72.486958","Cutchogue, New York",3444,61343,"#2,691"
267,12580,"41.863651, -73.871535","Staatsburg, New York",3869,61250,"#2,715"
268,14083,"42.677412, -78.440118","Java Village, New York",43,61250,"#2,716"
269,11553,"40.702638, -73.591283","Uniondale, New York",23452,61232,"#2,721"
270,11362,"40.758401, -73.733420","Little Neck, New York",17502,61053,"#2,759"
271,10003,"40.731856, -73.989145","New York, New York",53673,60891,"#2,796"
272,10926,"41.276440, -74.116509","Harriman, New York",3275,60862,"#2,804"
273,10960,"41.092282, -73.925728","Nyack, New York",14687,60766,"#2,829"
274,12056,"42.764876, -74.100328","Duanesburg, New York",2219,60735,"#2,835"
275,14031,"42.983128, -78.614262","Clarence, New York",8769,60694,"#2,846"
276,12564,"41.577105, -73.589238","Pawling, New York",6644,60687,"#2,852"
277,12578,"41.808483, -73.781304","Salt Point, New York",2105,60650,"#2,861"
278,10968,"41.036334, -73.921633","Piermont, New York",2424,60638,"#2,864"
279,11501,"40.746062, -73.639285","Mineola, New York",19111,60595,"#2,872"
280,14221,"42.984522, -78.722871","Buffalo, New York",51448,60494,"#2,893"
281,14072,"43.017901, -78.962657","Grand Island, New York",18621,60432,"#2,907"
282,14625,"43.150039, -77.505521","Rochester, New York",10792,60428,"#2,908"
283,11975,"40.941107, -72.244466","Wainscott, New York",398,60417,"#2,912"
284,12603,"41.675868, -73.864484","Poughkeepsie, New York",41667,60390,"#2,924"
285,11729,"40.762698, -73.321445","Deer Park, New York",28280,60340,"#2,940"
286,12046,"42.509480, -73.923510","Coeymans Hollow, New York",934,60313,"#2,943"
287,14586,"43.041661, -77.689956","West Henrietta, New York",6197,60191,"#2,981"
288,10603,"41.057813, -73.777196","White Plains, New York",16389,60151,"#2,990"
289,14127,"42.753763, -78.745385","Orchard Park, New York",27762,60141,"#2,994"
290,11704,"40.717504, -73.358203","West Babylon, New York",40114,60124,"#3,000"
291,12153,"42.640875, -73.460977","Sand Lake, New York",902,59861,"#3,048"
292,14428,"43.077283, -77.872558","Churchville, New York",7539,59776,"#3,063"
293,12575,"41.486109, -74.158896","Rock Tavern, New York",2089,59659,"#3,078"
294,10924,"41.381005, -74.352471","Goshen, New York",12308,59630,"#3,084"
295,10919,"41.526746, -74.378036","Circleville, New York",562,59583,"#3,093"
296,10314,"40.598825, -74.163336","Staten Island, New York",84821,59560,"#3,100"
297,12590,"41.592556, -73.886853","Wappingers Falls, New York",33523,59371,"#3,128"
298,10562,"41.192300, -73.833984","Ossining, New York",31035,59343,"#3,132"
299,11727,"40.880224, -73.002112","Coram, New York",25603,59338,"#3,133"
300,14580,"43.217283, -77.444534","Webster, New York",43824,59192,"#3,156"
301,11717,"40.783955, -73.252256","Brentwood, New York",51485,58985,"#3,190"
302,11360,"40.782352, -73.780749","Bayside, New York",19350,58803,"#3,221"
303,13602,"44.061817, -75.741909","Fort Drum, New York",4651,58750,"#3,235"
304,11697,"40.555681, -73.920688","Breezy Point, New York",4226,58491,"#3,269"
305,14085,"42.716594, -78.930821","Lake View, New York",5565,58438,"#3,284"
306,14564,"42.981266, -77.431077","Victor, New York",9903,58433,"#3,285"
307,11422,"40.632030, -73.766051","Rosedale, New York",30449,58396,"#3,293"
308,10012,"40.725639, -73.998090","New York, New York",26000,58313,"#3,310"
309,11784,"40.869063, -73.040402","Selden, New York",26411,58299,"#3,314"
310,12065,"42.854836, -73.787492","Clifton Park, New York",38866,58132,"#3,345"
311,12061,"42.594948, -73.659578","East Greenbush, New York",7872,58079,"#3,362"
312,11426,"40.736619, -73.723610","Bellerose, New York",18727,58065,"#3,367"
313,13152,"42.905238, -76.381554","Skaneateles, New York",8453,57815,"#3,421"
314,12549,"41.520026, -74.257424","Montgomery, New York",8670,57766,"#3,427"
315,13215,"42.980793, -76.223386","Syracuse, New York",14461,57763,"#3,430"
316,12018,"42.628833, -73.520770","Averill Park, New York",7513,57713,"#3,439"
317,11561,"40.589061, -73.651049","Long Beach, New York",39582,57657,"#3,453"
318,11518,"40.638346, -73.666295","East Rockaway, New York",11202,57619,"#3,460"
319,13039,"43.161395, -76.075729","Cicero, New York",14562,57538,"#3,481"
320,12863,"43.063469, -73.935709","Rock City Falls, New York",596,57500,"#3,487"
321,11722,"40.785083, -73.192931","Central Islip, New York",34491,57493,"#3,492"
322,10464,"40.867099, -73.797609","Bronx, New York",4634,57458,"#3,498"
323,11967,"40.805671, -72.879071","Shirley, New York",24943,57441,"#3,500"
324,14559,"43.189993, -77.819055","Spencerport, New York",15919,57289,"#3,534"
325,10923,"41.203213, -74.002535","Garnerville, New York",9273,57276,"#3,539"
326,11575,"40.679763, -73.584023","Roosevelt, New York",15975,57252,"#3,545"
327,12009,"42.700772, -74.031194","Altamont, New York",7628,57227,"#3,552"
328,12033,"42.543138, -73.705499","Castleton On Hudson, New York",8188,57165,"#3,572"
329,11942,"40.850055, -72.587962","East Quogue, New York",3981,57152,"#3,577"
330,11516,"40.627479, -73.727879","Cedarhurst, New York",7068,57136,"#3,581"
331,12577,"41.424982, -74.109743","Salisbury Mills, New York",1614,57012,"#3,616"
332,12443,"41.934991, -74.084925","Hurley, New York",3859,56903,"#3,651"
333,13041,"43.192089, -76.192302","Clay, New York",9818,56857,"#3,663"
334,12110,"42.750910, -73.775205","Latham, New York",20463,56811,"#3,677"
335,11413,"40.669293, -73.750553","Springfield Gardens, New York",39827,56726,"#3,693"
336,10996,"41.393700, -73.972175","West Point, New York",7126,56702,"#3,700"
337,12777,"41.561802, -74.709618","Forestburgh, New York",781,56667,"#3,714"
338,11542,"40.869660, -73.628113","Glen Cove, New York",27693,56635,"#3,722"
339,10921,"41.328266, -74.372269","Florida, New York",3879,56589,"#3,731"
340,11778,"40.939095, -72.928456","Rocky Point, New York",11514,56544,"#3,745"
